unix,open,high,low,close,Volume BTC,Volume USD,timestamp,7-day SMA,21-day SMA,EMA_0.67,12-day EMA,26-day EMA,MACD,20-day STD,Upper BB,Lower BB,High-Low Spread,MA Indicator,sentiment,Price Diff,Price Direction
1640995200,46230.0,46737.06,46199.9,46650.66,43.92278379,2049026.8528408012,1640995200,46850.270000000004,47086.46714285714,46695.5910490322,46915.34884695153,47043.112283199,-127.76343624747096,294.9258463424535,47676.31883554204,46496.615450172234,537.1599999999962,0,0.0,-122.41999999999825,0
1640998800,46656.08,46921.3,46560.83,46773.08,39.84742774,1863786.9254772395,1640998800,46933.98285714286,47117.850952380955,46786.81469403696,46963.47409185181,47074.50846585492,-111.0343740031094,287.890450836611,47693.631854054176,46542.070050707734,360.47000000000116,0,0.0,-35.0199999999968,0
1641002400,46768.85,46928.9,46719.22,46808.1,40.09499559,1876770.5630762791,1641002400,46983.93571428572,47149.83380952381,46814.70028496048,46998.091199461225,47098.62274312332,-100.53154366209492,279.9042486557347,47709.642306835274,46590.02531221234,209.6800000000003,0,0.0,-6.060000000004948,0
1641006000,46818.05,46904.54,46768.8,46814.16,15.29450938,715999.6092368208,1641006000,47030.782857142854,47195.991904761904,46828.10086351662,47032.63505390872,47121.86456257319,-89.22950866446627,276.94442175613153,47749.88074827417,46642.10306124964,135.73999999999796,0,0.0,108.03000000000611,1
1641009600,46814.16,46877.85,46562.27,46706.13,85.27753027,3982983.414869555,1641009600,47042.61714285715,47235.253333333334,46856.405040959464,47072.357790983035,47146.48092757905,-74.12313659601205,295.5051179407766,47826.26356921489,46644.24309745178,315.58000000000175,0,0.0,-508.7900000000009,0
1641013200,46700.21,47548.93,46676.75,47214.92,70.69555853,3337885.1403492675,1641013200,47051.32428571429,47267.30476190476,47161.50891199837,47138.94466207086,47181.70900178537,-42.764339714507514,284.3309281263272,47835.966618157414,46698.6429056521,872.1800000000003,0,0.0,230.08000000000175,1
1641016800,47224.84,47327.29,46960.0,46984.84,13.51816193,635148.6753751411,1641016800,47034.602857142854,47275.53,47053.06821817688,47125.13096426556,47179.052121928195,-53.92115766263305,285.2796418548086,47846.08928370962,46704.97071629038,367.2900000000009,0,0.0,-251.81000000000495,0
1641020400,46978.77,47251.14,46901.24,47236.65,19.37428599,915176.3663095336,1641020400,47040.92,47292.83714285715,47191.59217629357,47150.63841231385,47194.58909168246,-43.95067936860869,278.2254610444214,47849.28806494599,46736.386220768305,349.90000000000146,0,0.0,113.90000000000146,1
1641024000,47198.78,47337.16,47085.13,47122.75,11.57642554,545513.006615035,1641024000,46997.03142857143,47277.4080952381,47100.11114028353,47134.99994182546,47191.22421901705,-56.22427719159168,278.2173196256751,47833.842734489444,46720.97345598675,252.0300000000061,0,0.0,-13.279999999998836,0
1641027600,47134.44,47210.56,46942.35,47136.03,11.1149033,523912.415395899,1641027600,47011.76857142857,47276.09142857143,47054.14739479858,47137.22720397554,47196.70215653841,-59.474952562872204,288.8530978469,47853.79762426523,46698.385232877634,268.2099999999991,0,0.0,239.02999999999884,1
1641031200,47155.52,47294.22,46720.0,46897.0,105.4034892,4943107.4330124,1641031200,47032.42428571429,47277.037142857145,46887.900893329024,47137.44487742564,47201.555929061484,-64.1110516358458,290.1074083030806,47857.251959463305,46696.822326250985,574.2200000000012,0,0.0,129.91999999999825,1
1641034800,46857.8,47007.7,46760.0,46767.08,47.52593082,2222649.0087334057,1641034800,47158.154285714285,47291.21857142857,46869.426949481895,47181.162127866664,47225.92040338641,-44.75827551974362,277.474008169111,47846.1665877668,46736.27055509035,247.6999999999971,0,0.0,-330.7900000000009,0
1641038400,46771.09,47150.03,46770.67,47097.87,7.63225842,359463.1148715654,1641038400,47275.388571428564,47313.65666666667,47077.22227115724,47256.44978747878,47262.62763565732,-6.177848178544082,249.6467734192383,47812.950213505144,46814.363119828195,379.3600000000006,0,0.0,68.81000000000495,1
1641042000,47103.3,47207.27,46947.58,47029.06,13.21418052,621450.4885259111,1641042000,47311.41142857143,47322.87904761905,47035.301124718884,47285.28247611128,47275.808246509914,9.474229601364641,245.08004731849257,47813.039142256035,46832.71895298206,259.68999999999505,0,0.0,99.62999999999738,1
1641045600,47028.5,47105.92,46859.19,46929.43,10.64642788,499630.7919445084,1641045600,47368.211428571434,47331.101904761905,47047.97249914811,47331.86838085878,47295.548106230715,36.32027462806582,235.26082844355236,47801.62356164901,46860.5802478748,246.72999999999593,1,0.0,-296.4800000000032,0
1641049200,46917.47,47482.72,46880.56,47225.91,30.66504263,1448184.5433905434,1641049200,47422.53857142857,47346.579047619045,47288.64969438822,47405.038995560375,47324.837554729165,80.20144083120977,217.61498873177914,47781.809025082606,46911.349070155484,602.1600000000035,1,0.0,-54.70999999999913,0
1641052800,47281.24,47548.99,47200.56,47280.62,21.85796254,1033458.0208279748,1641052800,47453.79714285714,47350.52666666667,47416.03028602491,47437.60790384408,47332.7517591075,104.85614473657915,216.84246799218678,47784.21160265105,46916.841730682296,348.4300000000003,1,0.0,-496.48999999999796,0
1641056400,47299.12,47960.98,47259.71,47777.11,50.22795581,2399746.569809509,1641056400,47524.76857142857,47344.38619047619,47690.954200075466,47466.151159088455,47336.9222998361,129.2288592523546,216.4411270042955,47777.26844448478,46911.5039364676,701.2700000000041,1,0.0,189.38999999999942,1
1641060000,47810.18,47853.95,47440.47,47587.72,21.51321493,1023764.8483886597,1641060000,47504.98857142857,47313.65714285715,47516.0318184105,47409.61318801362,47301.70728382299,107.90590419063665,196.34456611288215,47706.34627508291,46920.96801063138,413.4799999999959,1,0.0,237.69000000000233,1
1641063600,47609.27,47640.11,47301.0,47350.03,10.28148105,486828.4361619315,1641063600,47475.20142857143,47302.142857142855,47370.48308609243,47377.23013128883,47278.82626652883,98.40386476000276,190.33657632829778,47682.81600979945,46921.46970448626,339.1100000000006,1,0.0,-76.63000000000466,0
1641067200,47350.03,47581.25,47260.0,47426.66,15.80759635,749701.497508691,1641067200,47480.57571428572,47324.94190476191,47412.0090487649,47382.17560970499,47273.12996785113,109.0456418538597,190.28187626369098,47705.50565728929,46944.37815223452,321.25,1,0.0,116.94000000000233,1
1641070800,47443.87,47558.0,47285.01,47309.72,14.29688223,676381.4951742756,1641070800,47469.380000000005,47324.95238095238,47382.26317807543,47374.08753874226,47260.84756527922,113.23997346303804,222.8582234089726,47770.66882777033,46879.235934134435,272.98999999999796,1,0.0,-135.0,0
1641074400,47342.13,47513.79,47229.86,47444.72,19.5870871,929303.863075112,1641074400,47412.654285714285,47313.47142857142,47529.54781234978,47385.790727604486,47256.93777050156,128.85295710292849,224.11405013367101,47761.69952883876,46865.24332830408,283.9300000000003,1,0.0,-332.6999999999971,0
1641078000,47473.26,47833.48,47289.15,47777.42,22.14451159,1058007.6309302978,1641078000,47362.708571428564,47287.869523809524,47701.7739768175,47375.07631444167,47241.915192141685,133.16112229998544,229.32135326231588,47746.512230334156,46829.22681728489,544.3300000000017,1,0.0,138.7699999999968,1
1641081600,47745.25,47784.94,47386.91,47638.65,21.93394739,1044903.6428306235,1641081600,47273.91857142857,47251.84190476191,47548.1896267197,47301.92291706743,47199.07480751302,102.84810955441208,217.616928100175,47687.07576096226,46816.60804856156,398.02999999999884,1,0.0,259.4400000000023,1
